2014,2014.1,2014.2,2014.3,2015,2015.1,2015.2,2015.3,2016,2016.1,2016.2,2016.3,2017,2017.1,2017.2,2017.3,2018,2018.1,2018.2,2018.3,2019,2019.1,2019.2,2019.3,2020,2020.1,2020.2,2020.3,2021,2021.1,2021.2,2021.3,2022.1,2022.2,2022.3,2023,2023.1,2023.2,2023.3,2024
472021.57501086895,476259.99487077974,490878.2184692471,485169.32641304086,487591.28061870433,491310.71029168717,499009.06473111664,504198.9666003952,495981.62197403755,513281.2948716322,520201.1640306701,529715.9841243472,506620.9208060583,486726.2969738247,481190.40164659434,498317.0778152129,541739.2567881752,543036.732255495,557395.4607604984,558779.4345923059,572965.1663683334,586891.4030508973,599952.6560885811,555751.9918352271,556443.9787511306,564142.3331905605,585247.9341256258,596665.7182380384,597790.196976382,605488.5514158114,620020.276649791,654446.625716004,671054.3116976949,675638.7250155578,617356.2456627556,643276.2984676749,681284.3102537349,706310.2965956535,787911.3420066078,790374.0462069092
581434.808064651,586044.8479682372,589463.5292450535,595161.3313730817,595161.3313730817,601221.7209092563,612720.9215676399,611892.1503490173,596508.0846033425,621785.6067713203,625566.8754562843,624841.7006399899,561337.1060130621,642608.4836392037,631212.8793831482,636599.8923041925,550304.0891651538,551806.2369989066,561751.4916223733,560819.1240014231,565636.3567096648,572629.11386679,583506.7361112066,550355.8873663179,548957.3359348925,551184.6585849398,557763.030132754,561026.3168060787,561596.0970188817,570505.3876190704,576358.5843505897,576358.5843505897,628363.9783191341,633388.4038320313,588966.7009073592,596630.7055911204,670464.8785240528,688175.6577191836,778810.4342021983,778298.4069385403
426958.89706369775,434881.8456690035,435057.91119356576,449143.1531585538,442100.5321760596,448086.7600111796,455305.446518236,461995.93645160523,456185.77414104756,459002.8225340452,466221.50904110173,467277.9021884756,451784.1360269888,457418.23281298415,572036.8893030739,503899.5312974446,577318.8550399442,578551.3137118806,579607.706859255,567459.1856644526,566754.9235662034,565698.5304188292,543690.3398485355,641582.7715052018,662358.503403559,799865.6780867543,830325.0138360406,869939.7568625693,860960.4151098893,921526.9555593377,928041.3799681447,972762.0232069812,1098648.8732690613,1150236.0719658297,806322.6299931392,802443.3125587497,849516.3143748346,912892.6673849915,1081855.2495246693,1133832.1504827095
502662.76558549,508485.1142216153,512124.08211919403,530561.5194669242,646523.2964697547,666173.7231166778,678303.6161086056,687764.9326423092,681214.7904266684,693587.2812784347,701350.4127932687,698439.238475206,694315.0748579501,704746.7828310084,727308.3837959943,747444.0061625945,747929.2018822716,758118.3119954907,783105.8915588623,790626.4252138578,791839.4145130503,828229.0934888336,869713.3275212273,893730.5156452443,909256.7786749118,966267.275736973,1007751.5097693661,1043898.5908853109,1046567.1673435356,1051176.5266804679,1042200.4058664413,1068643.572588844,1062336.0282330415,1064034.2132519113,1042566.7957549676,1093545.1426300227,1061372.3826955254,1102531.1031082338,1206640.3600886618,1229517.3253129062
598706.8953302916,601174.8917465416,589415.6147044097,584334.4456121302,546007.9130303656,531054.7582730862,534393.8122480126,535555.222326248,523941.1215438949,524376.6503232331,525247.7078819096,523650.769024336,517698.5423733801,516101.60351580655,671004.6727004385,747077.0328248501,779886.8675349968,797017.6661889675,818648.9288960998,618596.0429200713,624257.9170514684,682183.2447034533,690603.4677706592,742576.5687716882,744318.6838890412,832440.6735751439,992134.5593324965,992279.7355922755,1001571.0162181578,1049479.1819453638,1171717.5926796277,1198720.3769985985,1207721.305104922,1224997.2800186719,1020742.1804275365,1134996.1044791103,975366.7779728624,1021300.1030728116,1197122.4992849731,1248571.2397748043
541775.9688939181,548086.9792842594,553184.3338303043,571874.633832469,702706.7338476223,717998.797485757,732319.9364484545,736446.3663190625,730135.3559287208,742271.9143716852,754165.74164579,751981.1611260567,751010.2364506196,761933.1390492868,780866.1702203109,789361.7611303859,792759.9974944157,820674.0819132333,831354.253343042,839121.6507465388,852714.5962026588,926262.1403670209,934272.2689393773,941068.7416674376,940097.816992,978206.6105029077,1013402.6299875035,1029908.3494699349,1035491.166353698,1056851.5092133149,1089862.9481781775,1104669.5494785935,1173605.2014346297,1170206.9650706,1058431.119956622,1081066.0459762437,1125811.2142441384,1157154.8326332816,1271173.5419170915,1288150.8158217068
710033.0000542761,722605.9377932419,733150.9823485031,739505.0476574431,739505.0476574431,755322.6144903351,771680.9528388818,775466.3534484633,747346.2346344326,778035.0181478218,787363.3267928608,780062.9113315259,779386.9469369581,797232.4069535543,842386.8285106997,856176.5021598882,858745.1668592463,855365.3448864063,868479.0541410261,879970.4488486834,885783.7426419682,920257.9267649387,927287.9564684464,952839.4105831184,955678.4610403043,982987.4225808536,1016920.8351881695,1055585.998557462,1062480.8353820557,1083165.345855838,1098847.719809817,1142515.0196989127,1182667.3047362545,1193888.3136860845,1081436.2159166092,1133195.1220947558,1123520.070734058,1158883.4097609902,1228276.3681743448,1241815.4174422165
668471.2976992184,674695.0630545793,680335.3504078749,700757.0804801527,818230.6515625871,834957.0209551196,849543.9710067463,857907.1557030125,852850.3463517817,870160.1937463789,883774.6804612303,879301.3491120648,873466.5690914143,882802.2171244551,893888.299163692,931425.3839632117,946790.3046842584,956903.9233867201,976742.175456932,1057456.6324092671,1104523.857909183,1117943.8519566795,1126112.5439855908,1127862.9779917863,1091492.8491963963,1099661.5412253076,1131752.8313388864,1156647.8927603299,1175513.6814937668,1199241.7869110801,1209355.4056135414,1228415.687014334,1242808.1443986057,1238334.81304944,1227706.415820683,1230920.26310812,1373967.8320624407,1410206.4721561323,1472671.143391059,1483674.1966830508
705466.4780268924,710326.1782199591,719640.6035900043,727335.128895694,733814.7291531168,743534.1295392505,762972.9303115184,772287.3556815634,771072.4306332965,784436.6061642307,754873.4299897401,803875.4069364993,803470.43192041,808735.1071295661,864621.6593498365,861381.8592211251,866646.5344302813,1191841.472349681,1197916.0975910146,1204395.6978484374,1201965.8477519038,1231933.9989424841,1219379.7734437278,1233958.8740229288,1224239.4736367944,1261092.2001008857,1292275.2763397323,1315763.8272728892,1325483.2276590236,1345731.9784634693,1375295.1546379605,1395138.9304263175,1758401.5198580753,1772170.6704050985,1360709.3755420055,1373494.3713816814,1455862.9887677366,1489679.557707438,1597138.6220720496,1614615.244242917
