anio,trimestre,provincia,hasta_512kbps,512kbps_1mbps,1mbps_6mbps,6mbps_10mbps,10mbps_20mbps,20mbps_30mbps,mas_30mbps,otros,total
2018,3,La Pampa,242.0,8.417,68.507,3.153,920.0,1.189,216.0,698.0,2157.266
2018,3,La Rioja,9.0,1.291,40.647,4.138,5.425,20.0,339.0,0.0,419.501
2018,3,Mendoza,20.0,1.525,199.297,2.476,4.727,27.0,129.0,0.0,384.025
2018,3,Misiones,48.0,5.749,39.617,24.747,21.212,14.674,4.547,0.0,158.546
2018,3,Neuquén,1.396,2.244,55.822,1.647,23.785,15.218,9.718,6.105,115.93500000000002
2018,3,Río Negro,409.0,5.221,75.929,512.0,14.912,8.47,4.332,3.719,1033.583
2018,3,Salta,116.0,3.721,61.795,32.782,25.582,9.224,502.0,0.0,751.104
2018,3,San Juan,22.0,1.326,62.525,180.0,312.0,3.0,1.0,0.0,581.851
2018,3,San Luis,57.0,109.0,19.17,52.94,119.0,63.0,2.0,1.902,424.012
2018,3,Santa Cruz,26.0,116.0,32.815,778.0,206.0,1.0,3.0,0.0,1162.815
2018,3,Santa Fe,467.0,36.786,269.211,115.907,162.545,62.479,31.266,13.911,1159.1050000000002
2018,3,Santiago Del Estero,41.0,2.55,60.26,19.116,3.806,64.0,265.0,0.0,455.73199999999997
2018,3,Tierra Del Fuego,6.0,187.0,41.569,2.27,231.0,24.0,13.0,0.0,504.83900000000006
2018,3,Tucumán,16.0,5.993,81.559,43.282,27.062,941.0,12.187,0.0,1127.0829999999999
2018,2,Buenos Aires,1.009,81.354,85.0123208955224,295.457,816.056,536.049,199.589,113.357,2127.8833208955225
2018,2,Capital Federal,73.0,9.234,290.291,219.166,445.345,264.805,142.253,0.0,1444.094
2018,2,Catamarca,34.0,2.414,14.624,6.112,4.347,36.0,6.0,6.5,109.99700000000001
2018,2,Chaco,70.0,2.968,34.167,24.282,21.887,9.251,4.63,1.035,168.22
2018,2,Chubut,67.0,4.471,85.598,5.369,4.0,5.0,9.0,5.01,185.448
2018,2,Córdoba,81.0,21.779,219.63,102.596,244.291,78.852,34.95,8.11,791.2080000000001
2018,2,Corrientes,11.0,7.047,38.268,24.066,17.926,6.78,3.862,0.0,108.949
2018,2,Entre Ríos,18.0,8.179,94.459,44.57,34.281,12.012,5.92,0.0,217.421
2018,2,Formosa,1.11,3.568,22.409,5.176,9.727,1.313,1.243,0.0,44.546
2018,2,Jujuy,345.0,3.32,29.319,8.083,3.977,44.0,7.0,0.0,440.699
2018,2,La Pampa,244.0,8.797,68.083,2.409,965.0,969.0,179.0,698.0,3134.2889999999998
2018,2,La Rioja,9.0,1.384,40.679,4.198,5.64,20.0,15.0,0.0,95.90100000000001
2018,2,Mendoza,20.0,1.658,164.596,515.0,266.0,17.0,72.0,33.788,1090.042
2018,2,Misiones,48.0,6.092,39.489,23.569,23.747,11.888,3.866,0.0,156.651
2018,2,Neuquén,1.396,2.408,56.035,1.314,26.417,12.442,8.551,6.105,114.668
2018,2,Río Negro,409.0,5.298,75.056,523.0,16.48,6.663,3.725,3.975,1043.197
2018,2,Salta,116.0,3.99,61.763,33.285,28.431,7.239,182.0,0.0,432.70799999999997
2018,2,San Juan,22.0,1.378,57.591,11.0,0.0,3.0,0.0,5.068,100.03699999999999
2018,2,San Luis,57.0,101.0,11.992,11.0,0.0,7.0,2.0,9.284,199.27599999999998
2018,2,Santa Cruz,26.0,120.0,28.6,655.0,100.0,1.0,3.0,4.267,937.8670000000001
2018,2,Santa Fe,744.0,34.267,262.603,112.143,175.54,50.525,26.512,22.257,1427.8470000000002
2018,2,Santiago Del Estero,41.0,2.717,41.362,18.721,3.278,31.0,31.0,17.589,186.66700000000003
2018,2,Tierra Del Fuego,6.0,188.0,40.912,2.217,75.0,0.0,0.0,107.0,419.129
2018,2,Tucumán,16.0,6.735,79.899,44.968,27.059,1.084,8.784,1.305,185.834
2018,1,Buenos Aires,1.514,74.766,85.0123208955224,292.732,886.678,480.237,184.203,105.818,2110.9603208955227
2018,1,Capital Federal,89.0,10.039,292.566,222.737,487.826,227.953,127.384,0.0,1457.505
2018,1,Catamarca,34.0,2.896,14.77,6.145,3.539,41.0,4.0,6.5,112.85
2018,1,Chaco,70.0,3.261,32.516,24.488,23.296,8.219,3.897,1.035,166.71199999999996
2018,1,Chubut,67.0,4.314,83.161,5.358,4.0,5.0,9.0,5.01,182.843
2018,1,Córdoba,281.0,23.922,222.815,104.3,266.259,57.137,29.228,10.049,994.7099999999999
2018,1,Corrientes,11.0,5.005,37.152,24.038,19.068,5.89,3.256,0.0,105.40899999999999
2018,1,Entre Ríos,18.0,8.861,90.08,45.599,37.401,9.818,5.071,0.0,214.83
2018,1,Formosa,1.11,3.803,10.092,5.117,10.061,1.091,1.046,0.0,32.32
2018,1,Jujuy,345.0,4.807,27.219,8.044,3.925,49.0,4.0,0.0,441.995
2018,1,La Pampa,245.0,8.119,67.104,1.616,1.076,614.0,98.0,3.503,1038.418
2018,1,La Rioja,9.0,1.485,40.68,4.217,5.831,19.0,1.0,0.0,81.213
2018,1,Mendoza,20.0,1.662,164.599,501.0,266.0,19.0,72.0,33.788,1078.049
2018,1,Misiones,48.0,4.7,35.82,23.291,26.223,10.241,3.219,0.0,151.49399999999997
2018,1,Neuquén,1.396,2.367,59.468,1.311,29.012,9.709,7.378,6.105,116.74600000000001
2018,1,Río Negro,409.0,5.333,74.894,530.0,17.997,4.972,3.129,3.975,1049.3
2018,1,Salta,116.0,4.459,60.334,33.088,30.771,5.145,88.0,0.0,337.797
2018,1,San Juan,22.0,1.058,57.078,11.0,0.0,3.0,0.0,5.068,99.204
2018,1,San Luis,57.0,101.0,11.92,11.0,0.0,7.0,2.0,9.284,199.20399999999998
2018,1,Santa Cruz,26.0,120.0,28.6,655.0,100.0,1.0,3.0,4.267,937.8670000000001
2018,1,Santa Fe,1.359,33.639,262.008,108.576,188.9,39.589,22.801,23.181,680.053
2018,1,Santiago Del Estero,41.0,2.91,41.298,18.914,3.449,33.0,2.0,17.589,160.16
2018,1,Tierra Del Fuego,6.0,307.0,33.987,2.0,0.0,0.0,0.0,107.0,455.987
2018,1,Tucumán,16.0,7.472,78.811,45.675,26.405,1.218,7.082,1.305,183.96800000000002
2017,4,Buenos Aires,3.865,55.046,85.0123208955224,264.645,712.513,335.14,151.747,114.182,1722.1503208955223
2017,4,Capital Federal,314.0,31.411,517.018,284.04,458.12,178.396,114.939,0.0,1897.924
2017,4,Catamarca,34.0,3.182,15.315,5.904,2.927,43.0,2.0,2.151,108.479
2017,4,Chaco,70.0,3.432,37.144,24.088,20.123,7.29,3.289,1.035,166.40099999999995
2017,4,Chubut,67.0,4.313,83.676,5.355,7.0,5.0,9.0,0.0,181.344
2017,4,Córdoba,291.0,25.411,280.837,102.892,217.602,40.898,24.251,8.429,991.32
2017,4,Corrientes,11.0,5.22,41.08,23.686,16.046,5.053,2.675,0.0,104.75999999999998
2017,4,Entre Ríos,1.685,9.078,95.466,45.189,30.01,7.958,4.113,0.0,193.499
2017,4,Formosa,1.11,4.061,13.22,4.867,6.996,977.0,824.0,0.0,1831.254
